,NOMBDIST,NOMBPROV,NOMBDEP,POBLACION,DISTANCIA,riesgo
1758,CARUMAS,MARISCAL NIETO,MOQUEGUA,2780.0,329.7135898751299,6.911540869545665
1759,CUCHUMBAYA,MARISCAL NIETO,MOQUEGUA,892.0,299.700604558911,7.344577783708233
1760,MATALAQUE,GENERAL SANCHEZ CERRO,MOQUEGUA,528.0,277.093342823182,7.764569405004602
1761,UBINAS,GENERAL SANCHEZ CERRO,MOQUEGUA,2086.0,277.58075768003295,7.7548251599785125
1762,YUNGA,GENERAL SANCHEZ CERRO,MOQUEGUA,988.0,293.119135633847,7.459701111793259
1763,ILO,ILO,MOQUEGUA,72654.0,289.88806061161847,24.996218440992646
1764,EL ALGARROBAL,ILO,MOQUEGUA,3759.0,288.21177779403683,7.549520804923977
1765,PACOCHA,ILO,MOQUEGUA,5041.0,260.1498699052876,8.119626049748756
1766,INCLAN,TACNA,TACNA,3135.0,359.5137849743068,6.6820440955318405
1768,CAIRANI,CANDARAVE,TACNA,1116.0,345.93871296673746,6.756280827199508
1769,HUANUARA,CANDARAVE,TACNA,594.0,351.53206824319216,6.718884160586606
1796,DEAN VALDIVIA,ISLAY,AREQUIPA,7384.0,197.703319479079,45.49486077575326
1797,CHIVAY,CAYLLOMA,AREQUIPA,6371.0,205.9784795930854,44.133504948391895
1798,CAYLLOMA,CAYLLOMA,AREQUIPA,3952.0,204.3427513069031,44.48202268225499
1799,SAYLA,LA UNION,AREQUIPA,341.0,92.78583022448264,64.9980514667871
1800,CARAVELI,CARAVELI,AREQUIPA,4386.0,36.244043113519574,64.02413876678699
1801,ATIQUIPA,CARAVELI,AREQUIPA,556.0,109.37622798959187,56.31523105074281
1802,CHALA,CARAVELI,AREQUIPA,9514.0,94.45073367904858,64.39105823890083
1803,HUANUHUANU,CARAVELI,AREQUIPA,3195.0,96.77164277807778,63.49003591430017
1806,PICHACANI,PUNO,PUNO,5888.0,346.75699063710147,6.750250865628199
1808,PUEBLO NUEVO,ICA,ICA,7250.0,331.7448353008567,6.888634672179857
1810,SANTA ROSA,LA MAR,AYACUCHO,12967.0,376.91431731131274,
1812,SAMUGARI,LA MAR,AYACUCHO,10973.0,365.6243284298278,9.38434537483573
1813,CCATCA,QUISPICANCHI,CUSCO,15483.0,348.03683030754956,18.01007042621282
1814,CUSCO,CUSCO,CUSCO,128805.0,331.0090170176763,25.00000000000001
1815,TAMBO,HUAYTARA,HUANCAVELICA,651.0,341.7377496855652,6.790114923569559
1816,CURASCO,GRAU,APURIMAC,1252.0,244.98229728284284,12.049951863819683
1817,CURPAHUASI,GRAU,APURIMAC,2018.0,254.46011632715386,8.245424832945595
1818,HUAYLLATI,GRAU,APURIMAC,1420.0,260.42739617117206,8.11356967535621
1828,QUILAHUANI,CANDARAVE,TACNA,796.0,359.806479392289,6.681089042637169
1838,HUANCARAMA,ANDAHUAYLAS,APURIMAC,5434.0,278.7438451401714,7.731686409559271
1849,CAYARANI,CONDESUYOS,AREQUIPA,3553.0,173.13654845930103,47.035257794018506
1850,CHICHAS,CONDESUYOS,AREQUIPA,743.0,83.70450694658989,66.06554849172167
1851,RIO GRANDE,CONDESUYOS,AREQUIPA,3669.0,41.74785278884058,64.78062834009799
1853,CARACOTO,SAN ROMAN,PUNO,7161.0,360.7679526425524,6.678158377503167
1861,JOSE MARIA ARGUEDAS,ANDAHUAYLAS,APURIMAC,4334.0,259.129295110508,8.141962484779134
1872,ANDAGUA,CASTILLA,AREQUIPA,1135.0,132.0205081382487,45.88313381409487
1873,CHOCO,CASTILLA,AREQUIPA,812.0,164.24662721721688,46.94431024084672
